economy,year,debt_to_gdp,external_debt_gni,short_term_debt_reserves,debt_service_ratio,govt_expense_gdp,inflation_cpi,real_interest_rate,m2_growth,m2_to_reserves,private_credit_gdp,current_account_gdp,total_reserves,terms_of_trade_index,exports_gdp,gdp_growth,gdp_pc_growth,capital_formation_gdp,sp500_index,vix_index,treasury_10y_rate,fed_funds_rate,income_group,region,target_next_year
TON,2023,,35.443706618369,0.0,11.0475318843008,34.6540011081055,6.35112980255189,0.287677121368451,1.99100324919598,0.927044858980579,35.652195146772,-7.93410466818218,396530126.417996,85.3,14.7440206946818,2.79014366862668,3.22745653546359,26.1576293364394,12970.27556,16.849027237354086,3.959,5.024166666666667,UMC,EAS,0.0
TUN,2013,,56.327937751119,87.0435107706152,10.9788598035086,,5.31623531326689,,6.24244037691929,4.2091226925298,57.9598823065191,-7.9667784790268,7550027499.83122,108.8,44.889705324588,2.42993096446429,1.2189966874892,23.3100539589265,3541.2920238095235,14.230119047619048,2.35016,0.1075,LMC,MEA,0.0
TUN,2014,,56.8190675921791,91.3001412837953,8.96579078346867,,4.62555099534031,,7.94682990343025,4.37835910659715,59.8085555890782,-8.87794509825976,7498010302.87675,108.8,42.947465118132,3.09032803070775,1.87486431059185,21.5386454071231,4375.103492063492,14.175992063492064,2.53956,0.0891666666666666,LMC,MEA,0.0
TUN,2015,,63.2230339634337,86.9762976903732,10.2955000471576,,4.437371273215,,5.41253975321252,3.96198024505705,60.1365541399108,-8.57094815049073,7559201960.29189,100.0,38.3998387567342,0.967834205635981,-0.165402101671091,20.9814458888535,4945.553492063492,16.674126984126985,2.1382868525896415,0.1325,LMC,MEA,0.0
TUN,2016,,68.0294246068561,109.074713227066,12.0643180285348,,3.62939937384381,,8.0401615104041,4.8148957630386,62.2469554675417,-8.52887305480806,6137077790.03259,101.3,38.2952955757822,1.117231963992,0.0084982715857364,20.4975710197309,4987.792976190476,15.82563492063492,1.83744,0.395,LMC,MEA,0.0
TUN,2017,,81.888186770087,121.392967095123,17.0256448889435,,5.30884839565844,,11.9644084180508,4.78087148645351,64.7537285373031,-10.0143611259515,6143986079.65126,97.4,41.7207863819275,2.25261437620587,1.18340493178839,20.0462692931679,6235.298685258964,11.0902390438247,2.32948,1.0016666666666667,LMC,MEA,0.0
TUN,2018,,84.6215604863162,142.952141087948,21.0902589057426,,7.30759176031652,,7.11393184065234,5.07997692381199,63.5224389825305,-10.7946228980082,5661370258.89029,96.9,45.4857481712255,2.60696965356362,1.60391587948506,19.6008337353023,7425.957729083665,16.639840637450202,2.9112449799196787,1.8316666666666668,LMC,MEA,0.0
TUN,2019,,98.5572804435593,144.326588860906,22.4869544487478,,6.72007532863799,,10.947581497216,3.63399978828871,59.2903583224447,-8.04912453318916,7919981404.82365,97.0,45.9503306922947,1.55009304966742,0.613127731689971,19.4346881701368,7940.210486166008,15.387857142857142,2.1414,2.158333333333333,LMC,MEA,1.0
TUN,2020,,102.147025479701,108.371216241364,27.6875616043912,,5.63415115897625,,10.312212913936,3.37667541027726,67.6567184648518,-6.01234016088557,9810630874.82627,100.1,37.9918009809033,-8.97512622934723,-9.72752601384167,15.8455792827072,10201.520592885376,29.251304347826085,0.889203187250996,0.3758333333333333,LMC,MEA,0.0
TUN,2021,,93.8461326685163,152.494635256267,30.2550200250386,,5.706350208307,,8.68328822281857,4.09633484197123,64.667534646183,-5.88456562547467,8845557076.37304,95.4,41.7802023040094,4.73603648206102,4.08785924151975,15.8559150280589,14371.66246031746,19.656150793650795,1.4468525896414344,0.08,LMC,MEA,0.0
TUN,2022,,93.3278878231755,169.553151157323,23.5992385774526,,8.30646124447623,,9.13387825590637,4.39878504562994,66.0067667517737,-8.83429553808937,8094326708.95378,88.5,51.325939710781,2.75228761004381,2.15276458662672,16.3148062490812,12231.348525896414,25.6371484375,2.9505622489959835,1.6833333333333331,LMC,MEA,0.0
TUN,2023,,90.2495580226375,168.888353250252,24.116069227268,,9.32899597507865,,8.95360388445458,4.19503900179004,62.730565226498,-2.30371483601793,9239745488.47506,92.5,53.0393939110608,0.184015548469745,-0.481913639518325,15.7368610160164,12970.27556,16.849027237354086,3.959,5.024166666666667,LMC,MEA,0.0
TUR,2000,,43.2121592012955,122.953767742727,38.8995854810205,,54.9153705812683,,40.6579603704381,3.91141333031047,,-3.61057524589502,23514529510.39,102.3436104457,19.9334162657424,6.98528697817062,5.62145840894716,22.3110247868039,3783.6733333333336,23.315,6.030278884462151,6.235833333333333,UMC,ECS,1.0
TUR,2001,,57.4050808197224,82.0889337078633,42.3717776363912,,54.4001887619075,,90.3681345819734,4.485920951082,,1.85959025093731,19911331846.7119,100.0018354815,27.2970601933763,-5.45940838563062,-6.62846843803128,18.0765435272869,2034.9960483870968,25.74967741935484,5.0206854838709685,3.8875,UMC,ECS,0.0
TUR,2002,,55.901957136984,65.8917034342087,48.6420938332518,,44.9641209479849,,27.8854548386466,3.27654634424988,,-0.259990521546323,28348030216.9613,99.4209962025,25.2651261294128,6.43550883793114,5.15974085311868,19.6716408524051,1539.7314682539684,27.29246031746032,4.61308,1.6666666666666667,UMC,ECS,0.0
TUR,2003,,48.0065470233487,76.7683386890547,38.904314784324,,21.6024384490572,,14.4368313894372,3.00271831512697,,-2.39510781690365,35548509276.1176,100.5860151126,23.1946607252779,5.79909321038525,4.57792705344551,20.9444240457006,1646.8107936507936,21.982857142857146,4.01388,1.1275,UMC,ECS,0.0
TUR,2004,,41.0343944750811,98.3939541055602,34.5701562906449,,8.59826168115272,,20.7916923029449,3.63902601798178,,-3.46160310805252,37304121308.7358,101.1585982916,23.8544386839448,9.92540551918624,8.70602046453412,25.6417207426795,1986.3453571428572,15.478656126482212,4.271319999999999,1.3491666666666668,UMC,ECS,0.0
TUR,2005,,35.5841267097801,82.98671881306,37.5472400193742,,8.17916036802002,,35.9674535965493,3.73062629216141,,-4.12736838327371,52493941950.0754,100.2,22.118798245903,9.11157745861635,7.95177362643042,26.8770342277655,2099.3459523809524,12.807063492063492,4.28888,3.213333333333334,UMC,ECS,0.0
TUR,2006,,39.4750573117788,78.0022506727779,33.2805483038038,,9.59724212288432,,22.1742755205438,3.55718807994794,,-5.5679426761279,63264841173.6432,95.5,22.6756853295786,7.06762607623939,5.97350417809075,29.0425348290191,2263.4099601593625,12.806533864541834,4.795,4.964166666666666,UMC,ECS,0.0
TZA,2000,,54.3095587148451,85.3430658218606,11.9326850217368,,5.92396109637479,12.3625316450654,14.797068901793,1.75536028128083,3.11387313071453,-3.20303174427398,994821489.507032,61.6976882746,10.8128051973219,4.52078463603256,1.59942658531416,18.763909618931,3783.6733333333336,23.315,6.030278884462151,6.235833333333333,LMC,SSF,0.0
TZA,2001,,49.2446958069461,51.4653788799494,7.82443393599624,,5.14746800222618,14.5410020183044,34.2292679616146,1.81645884273286,4.11570369262342,-4.15575639482293,1177357651.66215,60.5437300042,13.837039970742,6.07080828734129,3.25057961835962,19.5825981449716,2034.9960483870968,25.74967741935484,5.0206854838709685,3.8875,LMC,SSF,0.0
TZA,2002,,50.9741678990316,45.8106577034707,5.32322855671192,,5.31783366118203,8.54700274679886,25.5562503860946,1.56683196140118,5.22405433434849,-0.324018475277026,1554545483.08318,61.6358638408,14.2816416273557,7.09319498355502,4.36368727532306,19.2975411959793,1539.7314682539684,27.29246031746032,4.61308,1.6666666666666667,LMC,SSF,0.0
TZA,2003,,48.7014242494431,40.4684881282376,3.9202092797492,,5.30356621509782,5.62474851993463,17.9687421523589,1.31214988047171,6.19230392095948,-1.14522022259737,2038411250.71436,62.9484208498,15.0931227613293,6.67278983053497,3.89344253690891,21.7017881940806,1646.8107936507936,21.982857142857146,4.01388,1.1275,LMC,SSF,0.0
TZA,2004,,52.4006815339904,49.2025699763964,4.55745427636982,,4.73580143949058,6.78734531634907,13.4928681607951,1.2613305974947,7.10967570724658,-2.89917810279357,2295701465.88251,63.8990825844,16.0455833088341,7.50381465859829,4.63163110389122,25.6740520256466,1986.3453571428572,15.478656126482212,4.271319999999999,1.3491666666666668,LMC,SSF,0.0
TZA,2005,,46.626692069397,48.9653037987413,4.34997272710983,,5.03457009267163,8.29001316534224,34.781864960487,1.83744161966223,7.82538446283459,-5.93931026684705,2048775519.3419,77.3,16.9833670564514,7.47631925974784,4.54018649750061,28.5449716514674,2099.3459523809524,12.807063492063492,4.28888,3.213333333333334,LMC,SSF,0.0
TZA,2006,,22.0619724098478,44.2890279537131,2.52804755627822,,7.25097262082546,9.61235270450994,21.4958760114288,1.8229691418447,9.79002002817653,-5.91870284632789,2259345786.15223,85.8,18.4149914479089,6.53222138847813,3.59554927104524,31.5031858875853,2263.4099601593625,12.806533864541834,4.795,4.964166666666666,LMC,SSF,0.0
TZA,2007,,23.3400355252746,35.9137197633336,1.75696151504558,,7.02551436974771,6.3895651962267,20.5081255337129,1.73317101445976,11.4689486745392,-7.84401666779704,2886381413.93065,86.9,19.8306255869655,6.76853520293716,3.83493311688827,33.8875320870203,2578.466613545817,17.535936254980083,4.634661354581673,5.019166666666666,LMC,SSF,0.0
TZA,2008,,21.8189603943436,46.9490146883021,1.28563894176231,,10.2783937621135,-1.20176222947434,19.8469166797341,2.17673345087222,11.9110255361168,-9.22106341671595,2862895993.28886,86.5,19.4646113550857,5.68641685905224,2.87353898673082,36.0601528558413,2161.684743083004,32.69486166007905,3.6642629482071714,1.9275,LMC,SSF,0.0
TZA,2009,,26.6339075866294,40.386081876191,3.07932990107009,15.3518258925895,12.1422278742988,5.49223043385646,17.7155570238218,1.93721552876358,11.2673883570686,-6.15605248067037,3470413229.48011,94.1,18.1942658314265,5.26910524873463,2.70936589724377,30.9967357868291,1845.3849603174604,31.479007936507937,3.2641199999999997,0.16,LMC,SSF,0.0
TZA,2010,,28.4398441804615,35.5735481643429,2.97918293185799,13.1930823905635,6.20015595647403,4.67468740278379,25.4269236910024,2.02078538963544,11.7182622747407,-6.90590514874114,3904676571.71261,102.7,19.6075287366869,6.33652342666889,3.67041498018565,30.7705684106003,2349.893531746032,22.54888888888889,3.2150597609561755,0.175,LMC,SSF,0.0
TZA,2011,,29.7815026646035,44.1929599714455,2.01236669278681,14.3760474348585,12.6909694699162,2.464304206777,18.2395320637285,2.24380075418945,12.3549632083654,-12.6408334198025,3726158402.29753,103.3,21.6342823266739,7.67215543486064,4.70485004341454,35.0995294827868,2677.4407142857144,24.20257936507937,2.78164,0.1016666666666666,LMC,SSF,0.0
TZA,2012,,30.8385908393605,51.3254116345436,2.05089909481853,14.017907635242,16.0010938506338,4.59141372169781,12.4855443255808,2.29978758177052,12.8184488909643,-9.49381708629511,4052224337.93442,101.2,22.372111684507,4.50015356010131,1.53892032694513,32.9644448669364,2965.55932,17.79888,1.80344,0.14,LMC,SSF,0.0
TZA,2013,,31.083374238378,33.5674123548621,2.33141048892868,14.8310743082401,7.87072364573959,5.64864168084363,9.965542218655,2.15569605284413,12.5373332966711,-10.92678991973,4673729809.18131,95.8,19.0127876013666,6.78158560065316,3.62722794168234,33.9571812287903,3541.2920238095235,14.230119047619048,2.35016,0.1075,LMC,SSF,0.0
TZA,2014,,33.1451206470393,43.2820552042275,4.03037909230715,16.0794441502738,6.13161432988012,9.65573386813088,15.5672628833781,2.56562392956609,13.3037348078978,-9.97566998652383,4390430240.97061,94.5,18.0692092760813,6.73246186832483,3.51147946313948,33.1703490007101,4375.103492063492,14.175992063492064,2.53956,0.0891666666666666,LMC,SSF,0.0
TZA,2015,,39.2891880346749,54.6906314218311,5.46782036212007,14.8700779493296,5.58816952959298,7.91293618587464,18.8091511371336,2.72344703649592,14.6135380844234,-5.52237840763772,4080762377.72074,100.0,17.1049115530965,6.16062877406682,2.77038211960942,31.8711320581175,4945.553492063492,16.674126984126985,2.1382868525896415,0.1325,LMC,SSF,0.0
TZA,2016,,40.0079292679425,59.3560357650669,8.75068736774752,13.3688531461333,5.17476629301493,7.89628648135895,3.44806721990585,2.41538004377285,13.670306797678,-2.44600098634937,4350687047.93764,108.8,16.349975063904,6.86711619644551,3.30400665890222,32.7538452434608,4987.792976190476,15.82563492063492,1.83744,0.395,LMC,SSF,0.0
TZA,2017,,41.3009336301928,47.2815864910025,9.78631284555373,15.7386532808111,5.31871605228931,14.7093732540287,8.02722779326998,1.88325103195256,13.0765127755534,-2.77322833378381,5887869884.67437,103.7,15.6634915658043,6.72726996832338,3.23688527604725,35.1589886009781,6235.298685258964,11.0902390438247,2.32948,1.0016666666666667,LMC,SSF,0.0
TZA,2018,,40.1480140958611,56.0617854612565,12.2530206587852,14.5748625993064,3.49445848856181,13.9859534876626,4.48779672013,2.25901444497463,12.7000393990914,-4.05016373285835,5049646420.4773,100.4,14.7391433931711,5.50267599385063,2.24213027557943,39.0488316106315,7425.957729083665,16.639840637450202,2.9112449799196787,1.8316666666666668,LMC,SSF,0.0
TZA,2019,,40.7439096992124,,12.377385688911,15.3752931466323,3.46428057999021,14.3628917375248,9.6412099544991,,12.6383081530206,-2.19612703390998,,102.4,16.0367461484986,5.79999999996723,2.71005881950599,42.6304711470676,7940.210486166008,15.387857142857142,2.1414,2.158333333333333,LMC,SSF,0.0
TZA,2020,,39.7693712686611,,16.1350828868982,14.2926515974573,3.29029062798325,9.63750201577468,5.67729156224582,,12.4351808144123,-2.20760897715159,,117.7,13.5038738462361,1.99196460647855,-0.998987836780785,40.5342442670396,10201.520592885376,29.251304347826085,0.889203187250996,0.3758333333333333,LMC,SSF,0.0
TZA,2021,,41.4860546069249,,18.5818651087015,15.1259358340698,3.69091958802199,,15.499292263209,,12.9776126678887,-3.3603589034405,,108.6,14.1200223265815,4.32138429480482,1.25401761079502,41.459600723321,14371.66246031746,19.656150793650795,1.4468525896414344,0.08,LMC,SSF,0.0
TZA,2022,,40.9318313478855,,16.4065014653654,16.8468991314032,4.35027204269101,,11.6383030690923,,15.1576772705188,-7.23733332088267,,98.2,15.4137105201683,4.56600576430955,1.54299792361155,42.8203518814369,12231.348525896414,25.6371484375,2.9505622489959835,1.6833333333333331,LMC,SSF,0.0
TZA,2023,,44.5950861063729,,15.5601135966803,17.0304864142749,3.79923291384916,,14.0553470430988,,16.386679568119,-3.74610299995179,,105.7,17.1954298762755,5.06952353203394,2.08099243052513,42.726818190292,12970.27556,16.849027237354086,3.959,5.024166666666667,LMC,SSF,0.0
UGA,2000,,58.0904524475271,16.0222494381431,10.5634960765149,,3.39202158512998,10.6216142695141,18.1421426991232,1.23517645720059,,-5.79340706801523,808042388.803331,85.5245811484,10.651409293254,3.141907338187,-0.0506112736721605,19.233964611848,3783.6733333333336,23.315,6.030278884462151,6.235833333333333,LIC,SSF,0.0
